#,name,"long name"
1,"Main Track","Main Track"
2,"MISSI 2022","MISSI 2022: Satellite Workshop on Multimedia and Network Information Systems"
3,"QMGDM 2022","QMGDM 2022: Satellite Workshop on Quantitative Methods of Group Decision Making (Post-conference publication in TCCI in 2023)"
4,"Doctoral Track","Doctoral Track"
5,"MMAML 2022","MMAML 2022: Special Session on Multiple Model Approach to Machine Learning"
6,"CIV 2022","CIV 2022: Special Session on Computational Imaging and Vision"
7,"AMCI 2022","AMCI 2022: Special Session on Adaptive Machine Learning in the Cloud Based IoT"
8,"ADMTA 2022","ADMTA 2022: Special Session on Advanced Data Mining Techniques and Applications"
9,"ISCEC 2022","ISCEC 2022: Special Session on Intelligent Supply Chains and e-Commerce"
10,"MLND 2022","MLND 2022: Special Session on Machine Learning Prediction of Neurodegenerative Diseases Progression"
11,"LRLSTP 2022","LRLSTP 2022: Special Session on Low Resource Languages Speech and Text Processing"
12,"MLLSCP 2022","MLLSCP 2022: Special Session on Machine Learning in Large-Scale and Complex Problems"
13,"ISMSFuN 2022","ISMSFuN 2022: Special Session on Intelligent Solutions for Management and Securing Future Networks"
14,"BMLLC 2022","BMLLC 2022: Special Session on Bio-modeling and Machine Learning in Prediction of Metastasis in Lung Cancer"
15,"ICxS 2022","ICxS 2022: Special Session on Intelligent and Contextual Systems"
16,"AICE 2022","AICE 2022: Special Session on Artificial Intelligence in Civil Engineering"
17,"AIIS 2022","AIIS 2022: Special Session on Artificial Intelligence in Information Security"
18,"DMPI-APP 2022","DMPI-APP 2022: Special Session on Data Modelling and Processing: Air Pollution Prevention"
19,"SIOTBDTA 2022","SIOTBDTA 2022: Special Session on Smart IoT and Big Data Technologies and Applications"
20,"STSH 2022","STSH 2022: Special Session on Smart Technologies in Sports and Healthcare"
21,"CIMEF 2022","CIMEF 2022: Special Session on Computational Intelligent Methods in Energy Forecasting"
22,"ISET 2022","ISET 2022: Special Session on Innovations in Science, Education and Technology"
23,"ACMLT 2022","ACMLT 2022: Special Session on Awareness Computing Based on Machine Learning Technologies"
24,"LPAIA 2022","LPAIA 2022: Special Session on Learning patterns/methods in current AI applications"
25,"BTAS 2022","BTAS 2022:Special Session on Blockchain Technology and Applications for Sustainability"
26,"DMSN 2022","DMSN 2022: Special Session on Data Management in Sensor Networks"
27,"IPROSE 2022","IPROSE 2022: Special Session on Intelligent Problem Solving for Smart Real World Systems"
28,"CDUD 2022","CDUD 2022: Special Session on Concept Discovery in Unstructured Data"
29,"PPiBDA 2022","PPiBDA 2022: Special Session on Privacy Protection in Big Data Approaches"
30,"1st round","1st round"
